Designator,Mid X,Mid Y,Layer,Rotation
J2,167,-97.5,bottom,0
J3,164,-82.5,bottom,90
J7,138.5,-68.5,bottom,-90
J8,138.5,-45.64,bottom,-90
J8,138.5,-40.6,bottom,-90
J9,147.5,-72,bottom,-90
J10,147.5,-49.14,bottom,-90
SW1,172.3,-121.925,bottom,180
SW2,161.375,-121.925,bottom,180
SW3,134.3,-119.675,bottom,180
X1,100.6,-69.525,bottom,180
C1,179.9,-36.8,top,90
C2,173.6,-54.3,top,-90
C3,173.6,-57.6,top,90
C4,175.2,-57.6,top,-90
C5,164.6,-57.5,top,-90
FB1,183.7,-36.375,top,-90
J1,178,-91,top,90
J4,139.42,-107.4,top,180
J5,101.8,-53.9,top,-90
J6,135.825,-112.975,top,0
J11,124.4,-93.1,top,-90
J12,178,-26,top,180
R1,176.7,-57.6,top,-90
R2,164.6,-54.1,top,-90
R3,163.375,-63.225,top,-90
U1,169.1,-57.2,top,0
